task,method,metric,mean,std,median,ci_low,ci_high
iid,cv_no_feedforward,linear_3,0.2841072771688689,0.034872323216131755,0.294747048221114,0.26127025758545547,0.2972083943592081
iid,cv_no_feedforward,quadratic_3,-0.05896861408300573,0.03632209968091344,-0.050267890077219324,-0.08002295600736595,-0.03934122416518689
iid,cv_no_feedforward,linear_4,0.11691258258579174,0.04492372233854453,0.10785603306298142,0.09011858496466374,0.1419260472620578
iid,cv_no_feedforward,quadratic_4,0.004107297204652105,0.057836475556459155,0.013824544097338687,-0.029875333949234428,0.03557606485241872
iid,cv_no_feedforward,cross_1_2,-0.04304248023885414,0.07538686517136513,-0.03497349758574253,-0.08854817578464486,-0.002022927179244784
iid,cv_no_feedforward,cross_1_3,0.026818806381528205,0.05253085920091729,0.02812582473273334,-0.004247042680821653,0.05642035646636447
iid,cv_no_feedforward,cross_1_4,-0.37272454795788684,0.09273811287775384,-0.39163865623554317,-0.4235022014049211,-0.3187639676463303
iid,cv_no_feedforward,cross_2_3,0.08399502042055398,0.037756109133149356,0.07351524742974835,0.06228833275555201,0.10519103592608987
iid,cv_no_feedforward,cross_2_4,-0.037521763561010966,0.07064616795045385,-0.023915315059172215,-0.08136442174126558,0.002287241652375127
iid,cv_no_feedforward,cross_3_4,-0.12842339390132987,0.0899773370889703,-0.13299495931813976,-0.18214898550595712,-0.07732296736687724
iid,cv_no_feedforward,parity,-0.011704071755909174,0.015425755872260291,-0.014984498842945171,-0.019451587030986567,-0.0012989512553549176
iid,cv_no_feedforward,narma10,0.4467686183640406,0.0544384637483666,0.4347235608965583,0.41839139347213805,0.48255652005280236
iid,cv_no_temporal,linear_capacity,0.015017729949003134,0.001056000241616416,0.014622307785673694,0.014623972250634323,0.015702169024062913
iid,cv_no_temporal,nonlinear_capacity,0.001101850380646363,0.00039710391129486975,0.001249045367706092,0.0008435843263960932,0.0012589773719645688
iid,cv_no_temporal,seconds,0.5644702499979758,0.26319268688793174,0.5314572999996017,0.43412688324599,0.7394105952518293
iid,cv_no_temporal,effective_rank,1.0056788474871063,0.007268614886174765,1.00336681755059,1.0021872741378601,1.0103188649415982
iid,cv_no_temporal,linear_1,-0.002567257858232974,1.3046074989042931e-08,-0.0025672536665741763,-0.002567266138353439,-0.002567253674467158
iid,cv_no_temporal,quadratic_1,-0.04679682649512902,0.0014170661725263003,-0.04765405095038544,-0.04756626984027834,-0.045962387637027424
iid,cv_no_temporal,linear_2,-0.02099801913898821,0.008443286852264283,-0.02451496790761487,-0.024443999834722785,-0.01545304833513658
iid,cv_no_temporal,quadratic_2,-0.040130786309508795,9.290004600170214e-06,-0.04013375119689444,-0.040133751333486595,-0.04012490521332031
iid,cv_no_temporal,linear_3,0.014790581645200085,0.0003630223832229595,0.014622307785673694,0.014623972250634323,0.01502072411265377
iid,cv_no_temporal,quadratic_3,-0.0004993383378810945,3.440215203277518e-08,-0.0004993272695078543,-0.000499360169176763,-0.0004993272827329603
iid,cv_no_temporal,linear_4,-0.04164692578032632,5.04820475203251e-05,-0.041667299450990236,-0.04166729982928019,-0.04161528115396695
iid,cv_no_temporal,quadratic_4,0.0008812149267756863,0.001088452986753099,0.001249045367706092,0.000181677964784063,0.0012589773719645688
iid,cv_no_temporal,cross_1_2,-0.027094726874515508,0.006534134000736634,-0.0249132278354659,-0.03126845059624019,-0.024907564459735788
iid,cv_no_temporal,cross_1_3,-0.007508614402229785,0.0004857947587504761,-0.007692185143500785,-0.007698548766730936,-0.007193969506738296
iid,cv_no_temporal,cross_1_4,-0.016432735048019807,0.0036041432839260573,-0.017789133329160767,-0.017767276364173884,-0.01408671194058823
